City,Date,ws,hum,dew,pm25
Beijing,2020-09-09,1.5,62.0,13.0,34.0
Beijing,2020-11-09,1.0,48.0,-6.5,72.0
Beijing,2020-03-30,1.5,46.5,0.5,157.0
Beijing,2020-04-17,2.5,38.5,2.0,76.0
Beijing,2020-05-29,1.5,55.5,14.0,151.0
Beijing,2020-06-02,2.5,44.0,12.5,74.0
Beijing,2020-07-25,1.0,55.0,19.0,80.0
Beijing,2020-08-25,1.0,71.0,20.5,63.0
Beijing,2020-04-27,1.5,37.5,1.0,117.0
Beijing,2020-06-01,1.0,65.5,10.5,68.0
Beijing,2020-08-22,1.5,64.5,17.0,93.0
Beijing,2020-10-20,0.5,84.0,7.0,189.0
Beijing,2020-06-17,3.0,43.0,13.0,63.0
Beijing,2020-06-20,2.5,48.0,18.0,109.0
Beijing,2020-06-29,1.0,63.0,18.0,85.0
Beijing,2020-08-14,1.5,76.5,24.0,87.0
Beijing,2020-08-15,1.0,85.5,23.0,85.0
Beijing,2020-09-14,1.5,78.0,18.0,114.0
Beijing,2020-05-07,1.5,63.0,10.5,167.0
Beijing,2020-06-22,3.0,53.0,17.5,129.0
Beijing,2020-11-03,1.0,48.5,-8.5,42.0
Beijing,2020-01-04,1.5,52.0,-10.0,112.0
Beijing,2020-05-04,3.0,67.0,10.0,93.0
Beijing,2020-05-11,6.1,14.5,-3.5,34.0
Beijing,2020-06-23,2.0,65.0,19.0,127.0
Beijing,2020-08-09,2.0,64.0,20.0,59.0
Beijing,2020-09-08,2.5,37.5,12.0,34.0
Beijing,2020-07-22,1.5,55.5,19.0,102.0
Beijing,2020-08-24,3.0,71.5,19.0,34.0
Beijing,2020-11-05,1.0,70.0,-1.0,167.0
Beijing,2020-11-22,6.6,30.0,-14.5,34.0
Beijing,2020-11-24,1.0,46.5,-10.0,82.0
Beijing,2020-10-13,2.5,22.0,-6.0,53.0
Beijing,2020-11-01,3.0,18.5,-10.0,42.0
Beijing,2020-11-02,3.6,19.0,-12.5,25.0
Beijing,2020-06-15,2.0,24.5,8.5,59.0
Beijing,2020-04-29,2.0,41.0,8.5,154.0
Beijing,2020-04-30,1.0,52.5,13.0,167.0
Beijing,2020-05-06,1.5,53.0,12.5,164.0
Beijing,2020-08-17,1.5,88.0,23.0,112.0
Beijing,2020-10-11,4.1,43.0,3.0,38.0
Beijing,2020-10-23,1.5,25.0,-7.0,30.0
Beijing,2020-05-17,1.0,35.0,3.0,61.0
Beijing,2020-07-17,1.5,69.0,21.0,124.0
Beijing,2020-10-21,4.1,24.0,-8.5,68.0
Beijing,2020-10-24,1.5,53.0,-1.5,80.0
Beijing,2020-11-04,0.5,64.5,-5.5,112.0
Beijing,2020-07-14,2.0,56.5,19.0,95.0
Beijing,2020-08-05,1.0,80.5,23.0,87.0
Beijing,2020-08-06,1.0,76.0,23.0,91.0
Beijing,2020-09-18,1.5,50.5,9.0,38.0
Beijing,2020-09-28,1.0,85.0,15.5,162.0
Beijing,2020-11-20,2.0,47.0,-8.0,38.0
Beijing,2020-05-01,1.5,54.0,16.0,176.0
Beijing,2020-04-13,1.5,26.0,-3.5,85.0
Beijing,2020-10-06,1.5,68.5,3.0,78.0
Beijing,2020-11-18,4.1,93.0,8.5,119.0
Beijing,2020-05-14,3.6,48.5,12.5,93.0
Beijing,2020-06-24,2.0,68.0,18.0,59.0
Beijing,2020-07-18,1.5,85.5,21.0,112.0
Beijing,2020-08-16,1.0,85.5,22.5,102.0
Beijing,2020-10-10,1.5,77.0,11.5,194.0
Beijing,2020-10-17,0.5,59.0,0.5,57.0
Beijing,2020-06-13,1.5,45.0,16.0,132.0
Beijing,2020-08-13,2.0,85.5,23.0,42.0
