city,date,ws,hum,dew,pm25,fqi_cum
Anyang,4/1/2020,2,99.3,7.7,147,52.06537763
Anyang,4/2/2020,2,77.9,5.4,152,45.8451283
Anyang,4/3/2020,3,43.2,2.3,147,37.70813362
Anyang,4/4/2020,4,45.1,0.7,144,39.55931373
Anyang,4/5/2020,4,53,4.2,124,42.22119342
Anyang,4/6/2020,3,43.9,4.3,151,39.0692871
Anyang,4/7/2020,3,52.1,5.6,154,41.91086299
Anyang,4/8/2020,2,63.9,5,139,41.48032559
Anyang,4/9/2020,5,63.2,2.4,102,45.07196805
Anyang,4/10/2020,3,99.3,3.2,89,49.190771
Anyang,4/11/2020,3,46.9,1.4,104,35.980023
Anyang,4/12/2020,4,13,-9,80,23.48723069
Anyang,4/13/2020,2,43.1,0.4,134,33.76822198
Anyang,4/14/2020,2,50.9,4.3,129,37.37278504
Anyang,4/15/2020,3,59.1,9,144,44.81312636
Anyang,4/16/2020,3,41.2,8,112,38.20183975
Anyang,4/17/2020,3,24.1,-1.1,93,28.48868918
Anyang,4/18/2020,2,52.2,5,119,37.526519
Anyang,4/19/2020,3,45.9,7.7,124,39.84706488
Anyang,4/20/2020,4,23,-2.5,57,27.99037763
Anyang,4/21/2020,3,37.1,1.5,85,32.60167635
Anyang,4/22/2020,3,25,-4.7,72,25.86873638
Anyang,4/23/2020,2,27,-2.5,104,26.77844348
Anyang,4/24/2020,2,8.1,-12.5,87,16.2769971
Anyang,4/25/2020,3,24,-0.2,80,28.23614137
Anyang,4/26/2020,3,42.1,4.1,109,36.36075405
Anyang,4/27/2020,3,44.1,4.7,91,36.22894578
Anyang,4/28/2020,4,33.1,5.6,112,37.31518397
Anyang,4/29/2020,4,39.9,8.8,119,40.94389373
Anyang,4/30/2020,2,54.1,13.3,153,43.81911765
Anyang,5/1/2020,4,60.1,16,117,49.42042484
Anyang,5/2/2020,2,74,20.3,144,51.76252723
Anyang,5/3/2020,2,68.8,21.1,163,51.83205035
Anyang,5/4/2020,6,69.1,8.7,74,50.50968894
Anyang,5/5/2020,2,77,12.8,72,45.13235294
Anyang,5/6/2020,3,60,13.5,114,45.70079884
Anyang,5/7/2020,3,98.7,16.2,97,55.82484265
Anyang,5/8/2020,5,98.7,15.6,59,58.20562213
Anyang,5/9/2020,2,98.7,13.9,93,52.17681554
Anyang,5/10/2020,3,40.2,9.6,85,37.34726458
Anyang,5/11/2020,3,19,-1.6,55,25.01385863
Anyang,5/12/2020,3,34,6,76,33.56959574
Anyang,5/13/2020,5,42,12.1,95,44.1667877
Anyang,5/14/2020,3,49.1,11.3,80,40.14839627
Anyang,5/15/2020,2,67.9,16.8,132,47.90455701
Anyang,5/16/2020,2,80.9,17.5,142,52.01209756
Anyang,5/17/2020,6,38.1,12.3,139,47.86801622
Anyang,5/18/2020,2,33.1,5,63,29.87086057
Anyang,5/19/2020,3,24,6.2,70,30.85899298
Anyang,5/20/2020,2,37.9,8.8,89,34.27105422
Anyang,5/21/2020,4,33.1,11.2,97,39.28867708
Anyang,5/22/2020,4,32,10.8,91,38.50895667
Anyang,5/23/2020,4,47,11.6,87,42.44535221
Anyang,5/24/2020,2,45,12.9,89,38.05585815
Anyang,5/25/2020,3,34.9,10.2,91,36.62502421
Anyang,5/26/2020,3,37.9,11.2,72,36.88785403
Anyang,5/27/2020,3,22.1,6.6,68,30.47719075
Anyang,5/28/2020,3,21.1,5.8,76,30.24655652
Anyang,5/29/2020,2,34,7.3,78,31.99491649
Anyang,5/30/2020,4,54.9,13.2,93,45.51330792
Anyang,5/31/2020,2,52.1,16.7,104,42.46520818
Anyang,6/1/2020,2,40,12.8,109,37.78564512
Anyang,6/2/2020,2,19,3.4,104,27.67060034
Anyang,6/3/2020,4,10,0.5,91,27.95993706
Anyang,6/4/2020,3,25,10.4,132,36.35711692
Anyang,6/5/2020,3,40,10.8,87,37.98838054
Anyang,6/6/2020,4,44.1,14.5,117,44.68513072
Anyang,6/7/2020,2,23,8.3,80,29.83799322
Anyang,6/8/2020,2,28,10,99,32.89869281
Anyang,6/9/2020,3,47.1,14.1,124,43.28431978
Anyang,6/10/2020,2,35.9,11.8,114,36.52765069
Anyang,6/11/2020,3,47,15.8,117,43.73257081
Anyang,6/12/2020,2,98.8,20.3,87,55.03042847
Anyang,6/13/2020,3,57.1,18.1,104,46.71629751
Anyang,6/14/2020,3,25,8,65,31.73414427
Anyang,6/15/2020,2,44.1,12.2,104,38.25932583
Anyang,6/16/2020,2,91.7,18.9,91,52.77491527
Anyang,6/17/2020,1,98.8,18.2,80,51.32611958
Anyang,6/18/2020,3,82.2,17.3,82,51.4674534
Anyang,6/19/2020,2,75.9,18.5,78,47.96011256
Anyang,6/20/2020,4,54,17.9,85,47.18070685
Anyang,6/21/2020,4,56.2,18.1,89,48.03450738
Anyang,6/22/2020,3,78.8,19.9,99,52.7664488
Anyang,6/23/2020,2,62.1,19.7,95,45.97283345
Anyang,6/24/2020,2,74.2,20.3,97,49.39483176
Anyang,6/25/2020,3,65.9,20.5,91,49.42404382
Anyang,6/26/2020,1,75.9,21.9,139,50.4498245
Anyang,6/27/2020,2,54.1,18.1,112,44.06300533
Anyang,6/28/2020,2,81.8,22.3,127,53.81843379
Anyang,6/29/2020,2,95.9,21.4,129,57.00513798
Anyang,6/30/2020,3,78,21.1,99,53.1546841
Anyang,7/1/2020,2,61,19.3,93,45.39887436
Anyang,7/2/2020,2,95.9,22.9,109,56.71162551
Anyang,7/3/2020,3,81,21.5,91,53.68923989
Anyang,7/4/2020,3,97.1,22.9,114,59.58364198
Anyang,7/5/2020,3,55.2,20.3,80,46.08516098
