Province,fqi_cum
上海,44.812327787978134
云南,50.12935878672128
内蒙古,34.78752680322404
北京,40.57281989595629
吉林,41.90476048699456
四川,44.85518464267759
天津,42.78067735229509
宁夏,31.380478469508212
安徽,50.039899242131156
山东,44.80927304926229
山西,37.00877627218579
广东,50.58864844833334
广西,47.540132055027314
新疆,30.467955700655754
江苏,48.855571445655734
江西,48.118124952622985
河北,42.750190483224046
河南,43.707880109344245
浙江,48.21588122229504
海南,51.437611528251324
湖北,48.79588130136611
湖南,50.69611962038249
甘肃,35.28299701180326
福建,51.25251397877052
西藏,29.620647992786907
贵州,48.53432000863388
辽宁,43.51820799131146
重庆,47.9227976063388
陕西,45.04630125710383
青海,36.8773669495082
黑龙江,42.342875847668495
台湾, 52
香港, 0
澳门, 0
